code,name,year,GVA per hour worked,Export Intensity,New Businesses,Low Skilled,High Skilled,Active,Inactive due to Illness,Working Age,4G connectivity,Fibre connectivity,Population,GVA/H volume,Hours
TLC13,Darlington,2017,31.9,,0.1198830409356725,0.1906976744186046,0.324031007751938,0.7903100775193799,0.2791127541589648,0.6054007377441548,,,106541.0,97.6,1511957.0
TLC13,Darlington,2018,31.2,0.1936952714535902,0.1736204576043068,0.1917485265225933,0.3300589390962672,0.7886051080550098,0.2063197026022304,0.5979175085282536,0.8077000000000001,0.008,106411.0,97.0,1552909.0
TLC13,Darlington,2019,30.4,0.1862849063273241,0.126241134751773,0.1909270216962524,0.3155818540433925,0.7944773175542407,0.2380038387715931,0.5948916757406225,0.8691,0.0139999999999999,106532.0,100.0,1492073.0
TLC13,Darlington,2020,29.4,,0.1026392961876832,0.1540275049115913,0.3410609037328094,0.7897838899803536,0.2616822429906542,0.5955891300888352,0.8681,0.022,106827.0,78.1,1679766.0
TLC13,Darlington,2021,29.3,,0.155525238744884,0.1520376175548589,0.3824451410658307,0.7950626959247649,0.2848948374760994,0.5895943073653082,0.8835,0.037,108210.0,90.4,1666424.0
TLC13,Darlington,2022,29.4,,0.1121621621621621,0.0894819466248037,0.3814756671899529,0.7912087912087912,0.3007518796992481,0.5818998986014305,0.8822,0.189,109469.0,93.7,1689617.0
TLC13,Darlington,2023,,,,,,,,,0.8192,0.5630000000000001,,,
TLC13,Darlington,2024,,,,,,,,,0.898,0.638,,,
TLC14,Durham CC,2004,22.7,,,,,,,,,,495147.0,103.6,5618824.0
TLC14,Durham CC,2005,22.5,,,,,,,,,,497218.0,108.7,5365010.0
TLC14,Durham CC,2006,24.1,,,,,,,,,,499348.0,107.5,5605047.0
TLC14,Durham CC,2007,25.2,,,,,,,,,,502960.0,109.3,5596543.0
TLC14,Durham CC,2008,26.1,,,,,,,,,,505617.0,112.6,5386806.0
TLC14,Durham CC,2009,26.6,,,,,,,,,,507311.0,104.9,5589976.0
TLC14,Durham CC,2010,27.1,,,,,,,,,,510628.0,107.7,5460036.0
TLC14,Durham CC,2011,27.3,,,,,,,,,,512994.0,108.3,5266911.0
TLC14,Durham CC,2012,27.3,,,0.2963870177587263,0.2391304347826087,0.730251071647275,0.3382519863791146,0.6364958041167598,,,513122.0,108.2,5304936.0
TLC14,Durham CC,2013,27.0,,,0.2655436447166922,0.2419601837672281,0.7316232771822359,0.3098430813124108,0.6362302432484571,,,513179.0,100.6,5660107.0
